"","date","hits","keyword","geo","gprop","category"
"151",2017-11-19 01:00:00,6,"lose weight","GR","web",0
"152",2017-11-26 01:00:00,24,"lose weight","GR","web",0
"153",2017-12-03 01:00:00,12,"lose weight","GR","web",0
"154",2017-12-10 01:00:00,50,"lose weight","GR","web",0
"155",2017-12-17 01:00:00,19,"lose weight","GR","web",0
"156",2017-12-24 01:00:00,27,"lose weight","GR","web",0
"157",2017-12-31 01:00:00,39,"lose weight","GR","web",0
"158",2018-01-07 01:00:00,36,"lose weight","GR","web",0
"159",2018-01-14 01:00:00,35,"lose weight","GR","web",0
"160",2018-01-21 01:00:00,17,"lose weight","GR","web",0
"161",2018-01-28 01:00:00,47,"lose weight","GR","web",0
"162",2018-02-04 01:00:00,53,"lose weight","GR","web",0
"163",2018-02-11 01:00:00,18,"lose weight","GR","web",0
"164",2018-02-18 01:00:00,60,"lose weight","GR","web",0
"165",2018-02-25 01:00:00,28,"lose weight","GR","web",0
"166",2018-03-04 01:00:00,29,"lose weight","GR","web",0
"167",2018-03-11 01:00:00,59,"lose weight","GR","web",0
"168",2018-03-18 01:00:00,29,"lose weight","GR","web",0
"169",2018-03-25 01:00:00,30,"lose weight","GR","web",0
"170",2018-04-01 00:00:00,53,"lose weight","GR","web",0
"171",2018-04-08 00:00:00,39,"lose weight","GR","web",0
"172",2018-04-15 00:00:00,64,"lose weight","GR","web",0
"173",2018-04-22 00:00:00,30,"lose weight","GR","web",0
"174",2018-04-29 00:00:00,18,"lose weight","GR","web",0
"175",2018-05-06 00:00:00,39,"lose weight","GR","web",0
"176",2018-05-13 00:00:00,29,"lose weight","GR","web",0
"177",2018-05-20 00:00:00,63,"lose weight","GR","web",0
"178",2018-05-27 00:00:00,41,"lose weight","GR","web",0
"179",2018-06-03 00:00:00,57,"lose weight","GR","web",0
"180",2018-06-10 00:00:00,53,"lose weight","GR","web",0
"181",2018-06-17 00:00:00,21,"lose weight","GR","web",0
"182",2018-06-24 00:00:00,31,"lose weight","GR","web",0
"183",2018-07-01 00:00:00,50,"lose weight","GR","web",0
"184",2018-07-08 00:00:00,48,"lose weight","GR","web",0
"185",2018-07-15 00:00:00,40,"lose weight","GR","web",0
"186",2018-07-22 00:00:00,48,"lose weight","GR","web",0
"187",2018-07-29 00:00:00,28,"lose weight","GR","web",0
"188",2018-08-05 00:00:00,51,"lose weight","GR","web",0
"189",2018-08-12 00:00:00,60,"lose weight","GR","web",0
"190",2018-08-19 00:00:00,23,"lose weight","GR","web",0
"191",2018-08-26 00:00:00,37,"lose weight","GR","web",0
"192",2018-09-02 00:00:00,37,"lose weight","GR","web",0
"193",2018-09-09 00:00:00,22,"lose weight","GR","web",0
"194",2018-09-16 00:00:00,27,"lose weight","GR","web",0
"195",2018-09-23 00:00:00,41,"lose weight","GR","web",0
"196",2018-09-30 00:00:00,11,"lose weight","GR","web",0
"197",2018-10-07 00:00:00,35,"lose weight","GR","web",0
"198",2018-10-14 00:00:00,29,"lose weight","GR","web",0
"199",2018-10-21 00:00:00,29,"lose weight","GR","web",0
"200",2018-10-28 00:00:00,48,"lose weight","GR","web",0
"201",2018-11-04 01:00:00,18,"lose weight","GR","web",0
"202",2018-11-11 01:00:00,12,"lose weight","GR","web",0
"203",2018-11-18 01:00:00,17,"lose weight","GR","web",0
"204",2018-11-25 01:00:00,34,"lose weight","GR","web",0
"205",2018-12-02 01:00:00,18,"lose weight","GR","web",0
"206",2018-12-09 01:00:00,40,"lose weight","GR","web",0
"207",2018-12-16 01:00:00,24,"lose weight","GR","web",0
"208",2018-12-23 01:00:00,60,"lose weight","GR","web",0
"209",2018-12-30 01:00:00,30,"lose weight","GR","web",0
